year_month,sentiment_BR,total_BR,sentiment_BRG1665,sentiment_BRG1666,sentiment_BRG1667,sentiment_BRG1668,sentiment_BRG1669,sentiment_BRG1670,sentiment_BRG1671,sentiment_BRG1672,sentiment_BRG1673,sentiment_BRG1674,sentiment_BRG1675,sentiment_BRG1676,sentiment_BRG1677,sentiment_BRG1678,sentiment_BRG1679,sentiment_BRG1680,sentiment_BRG1681,sentiment_BRG1682,sentiment_BRG1683,sentiment_BRG1685,sentiment_BRG1686,sentiment_BRG1687,sentiment_BRG1688,sentiment_BRG1689,sentiment_BRG1690,sentiment_BRG1691,total_BRG1665,total_BRG1666,total_BRG1667,total_BRG1668,total_BRG1669,total_BRG1670,total_BRG1671,total_BRG1672,total_BRG1673,total_BRG1674,total_BRG1675,total_BRG1676,total_BRG1677,total_BRG1678,total_BRG1679,total_BRG1680,total_BRG1681,total_BRG1682,total_BRG1683,total_BRG1685,total_BRG1686,total_BRG1687,total_BRG1688,total_BRG1689,total_BRG1690,total_BRG1691,year,month,population_growth_annual_percent,population_density_people_per_sq_km_of_land_area,poverty_headcount_ratio_at_2_15_a_day_2017_ppp_percent_of_population,gni_per_capita_ppp_current_international,income_share_held_by_lowest_20_percent,life_expectancy_at_birth_total_years,fertility_rate_total_births_per_woman,adolescent_fertility_rate_births_per_1_000_women_ages_15_19,births_attended_by_skilled_health_staff_percent_of_total,mortality_rate_under_5_per_1_000_live_births,school_enrollment_primary_percent_gross,school_enrollment_secondary_percent_gross,school_enrollment_primary_and_secondary_gross_gender_parity_index_gpi,annual_freshwater_withdrawals_total_percent_of_internal_resources,urban_population_growth_annual_percent,gdp_growth_annual_percent,gross_capital_formation_percent_of_gdp,mobile_cellular_subscriptions_per_100_people,statistical_capacity_score_overall_average_scale_0_100,people_using_safely_managed_drinking_water_services_percent_of_population,hospital_beds_per_1_000_people,nurses_and_midwives_per_1_000_people,physicians_per_1_000_people,in_reply_to_status_count,in_reply_to_user_count,in_quotation_user_count,in_quotation_status_count,in_retweet_user_count,in_retweet_status_count,entities_count,followers_mean,following_mean,user_statuses_mean,verified_users_count,retweets_count,quotes_count,replies_count,num_retweets_mean,num_quotes_mean,num_replies_mean
2014-09-01T00:00:00Z,-0.15315873296761634,11302,-0.05128205128205128,-0.12605042016806722,-0.04938271604938271,-0.017123287671232876,-0.06576980568011959,-0.045346062052505964,-0.10869565217391304,-0.18779342723004694,-0.06331877729257641,-0.08504398826979472,-0.05454545454545454,-0.05181347150259067,-0.1989644970414201,-0.047619047619047616,-0.07945736434108527,-0.17419354838709677,-0.03498542274052478,-0.14285714285714285,-0.35106382978723405,-0.2854609929078014,0,-0.06976744186046512,-0.28440366972477066,-0.1596244131455399,-0.0196078431372549,-0.07692307692307693,39,119,81,292,669,419,230,213,458,341,55,193,2704,42,516,465,343,7,94,1128,12,86,436,2130,204,26,2014,9,0.8578348,24.34269,3.3,15370,3.6,74.306,1.767,62.0762,98.4,16.3,110.3165,102.6355,1.01811,1.148596,1.189409,0.5039557,20.54841,137.9776,75.55556,81.19585,2.22,8.788,1.882,667,757,0,0,1853,1853,3077,7670.088391435144,2141.6133427711907,28889.351619182446,103,1853,0,667,0.16333392319943374,8.847991505928154e-5,0.0056627145637940185
2014-10-01T00:00:00Z,-0.07220828530747847,14749,-0.09836065573770492,-0.0364963503649635,-0.0375,-0.03896103896103896,-0.048167539267015703,-0.027777777777777776,-0.04149377593360996,-0.06097560975609756,-0.03908045977011494,-0.04337899543378995,-0.04054054054054054,-0.07924528301886792,-0.08439620081411126,-0.02531645569620253,-0.03121852970795569,-0.08522727272727272,-0.023853211009174313,0,-0.3220338983050847,-0.12109744560075686,0,-0.022988505747126436,-0.15060240963855423,-0.09393491124260354,-0.019704433497536946,0,61,137,160,231,955,684,482,328,435,438,74,265,3685,79,993,704,545,7,59,1057,13,87,332,2704,203,31,2014,10,0.8578348,24.34269,3.3,15370,3.6,74.306,1.767,62.0762,98.4,16.3,110.3165,102.6355,1.01811,1.148596,1.189409,0.5039557,20.54841,137.9776,75.55556,81.19585,2.22,8.788,1.882,1038,1116,0,0,5175,5175,6980,7347.459759983728,1670.8568038511087,32909.33975184758,126,5175,0,1038,0.5081022442199471,1.3560241372296427e-4,0.010983795511560106
2014-11-01T00:00:00Z,-0.04669734704926908,14776,-0.0136986301369863,-0.01488095238095238,-0.007407407407407408,-0.06143344709897611,-0.012965964343598054,-0.01806451612903226,-0.03899721448467967,-0.06597222222222222,-0.016260162601626018,-0.019801980198019802,-0.014492753623188406,-0.03133903133903134,-0.06278669724770643,-0.04225352112676056,-0.017892644135188866,-0.04016620498614958,-0.01,0,-0.2553191489361702,-0.06759259259259259,0,-0.030927835051546393,-0.1423611111111111,-0.07590306355738455,-0.006289308176100629,0,73,336,135,293,1234,775,359,288,615,505,69,351,3488,71,1006,722,500,17,47,1080,38,97,288,2187,159,43,2014,11,0.8578348,24.34269,3.3,15370,3.6,74.306,1.767,62.0762,98.4,16.3,110.3165,102.6355,1.01811,1.148596,1.189409,0.5039557,20.54841,137.9776,75.55556,81.19585,2.22,8.788,1.882,421,489,0,0,2623,2623,4148,11905.35158364916,3509.59698159177,38701.92169734705,180,2623,0,421,0.2169057931781267,0,0.005278830536004331
2014-12-01T00:00:00Z,-0.06334841628959276,6630,-0.047619047619047616,-0.01904761904761905,0.027777777777777776,-0.056818181818181816,-0.0327455919395466,-0.0196078431372549,-0.015151515151515152,-0.08208955223880597,-0.046296296296296294,-0.0335195530726257,-0.1111111111111111,-0.06818181818181818,-0.06725755995828989,-0.06666666666666667,-0.04779411764705882,-0.04827586206896552,-0.018072289156626505,0,-0.13636363636363635,-0.07924528301886792,0,0,-0.13138686131386862,-0.10318142734307825,-0.04411764705882353,0.05555555555555555,21,105,72,176,397,306,132,134,216,179,27,132,1918,30,272,290,166,4,44,530,9,84,137,1163,68,18,2014,12,0.8578348,24.34269,3.3,15370,3.6,74.306,1.767,62.0762,98.4,16.3,110.3165,102.6355,1.01811,1.148596,1.189409,0.5039557,20.54841,137.9776,75.55556,81.19585,2.22,8.788,1.882,335,365,0,0,1346,1346,2041,7539.399547511312,2416.528959276018,38689.578280542984,76,1346,0,335,0.24223227752639517,0,0.004977375565610859
2015-01-01T00:00:00Z,-0.10974593919200333,4802,-0.05263157894736842,-0.04918032786885246,-0.05555555555555555,-0.1509433962264151,-0.08097165991902834,-0.01694915254237288,-0.0423728813559322,-0.11607142857142858,-0.05223880597014925,-0.019867549668874173,-0.12121212121212122,-0.1839080459770115,-0.1211667913238594,-0.09090909090909091,-0.07881773399014778,-0.12027491408934708,-0.024096385542168676,0,-0.3888888888888889,-0.17366946778711484,-0.23076923076923078,-0.14285714285714285,-0.10869565217391304,-0.11959798994974874,-0.05405405405405406,0,19,61,18,106,247,177,118,112,134,151,33,87,1337,22,203,291,83,2,36,357,13,21,138,995,37,4,2015,1,0.8459926,24.54951,3.9,14420,3.6,74.332,1.777,61.0878,98.2,15.9,109.1522,100.9205,1.01474,1.128069,1.170641,-3.545763,17.41163,125.6477,72.22223,81.9763,2.15,9.1081,1.882,450,470,0,0,976,976,1626,6236.827155351937,1368.3998334027488,34062.01541024573,29,976,0,450,0.24656393169512703,2.0824656393169514e-4,0.009371095376926281
2015-02-01T00:00:00Z,-0.07997545510329311,4889,0,0,-0.04878048780487805,-0.09615384615384616,-0.03125,-0.03333333333333333,0.046511627906976744,-0.07142857142857142,-0.025806451612903226,-0.0718954248366013,0,-0.10784313725490197,-0.0890625,-0.05555555555555555,-0.041666666666666664,-0.08156028368794327,0.010416666666666666,0,-0.10344827586206896,-0.12393162393162394,0,-0.014925373134328358,-0.1891891891891892,-0.10561797752808989,-0.034482758620689655,-0.1,10,62,41,104,256,210,129,98,155,153,40,102,1280,18,168,282,96,5,29,468,2,67,185,890,29,10,2015,2,0.8459926,24.54951,3.9,14420,3.6,74.332,1.777,61.0878,98.2,15.9,109.1522,100.9205,1.01474,1.128069,1.170641,-3.545763,17.41163,125.6477,72.22223,81.9763,2.15,9.1081,1.882,354,385,0,0,1248,1248,1877,6313.97013704234,1500.7089384332173,34146.315401922686,38,1248,0,354,0.33115156473716506,0,0.01063612190632031
2015-03-01T00:00:00Z,-0.07534584980237154,8096,-0.07142857142857142,-0.03676470588235294,0,-0.04090909090909091,-0.03632478632478633,-0.03864734299516908,-0.05970149253731343,-0.07166123778501629,-0.07317073170731707,-0.06639004149377593,-0.016666666666666666,-0.08783783783783784,-0.09170305676855896,-0.037037037037037035,-0.0654911838790932,-0.053763440860215055,-0.028169014084507043,0,-0.29411764705882354,-0.09216589861751152,0,0,-0.10759493670886076,-0.09716599190283401,-0.07692307692307693,0,28,136,84,220,468,414,268,307,205,241,60,148,2061,27,397,372,213,9,34,651,11,25,158,1482,65,12,2015,3,0.8459926,24.54951,3.9,14420,3.6,74.332,1.777,61.0878,98.2,15.9,109.1522,100.9205,1.01474,1.128069,1.170641,-3.545763,17.41163,125.6477,72.22223,81.9763,2.15,9.1081,1.882,468,533,0,0,1690,1690,2666,11295.866600790514,1320.0359436758893,37703.45046936759,127,1690,0,468,0.24666501976284586,2.4703557312252963e-4,0.0066699604743083
2015-04-01T00:00:00Z,-0.06964016965385142,7309,-0.1,-0.017543859649122806,0,-0.005154639175257732,-0.020100502512562814,-0.10786106032906764,-0.0481283422459893,-0.04895104895104895,-0.07734806629834254,-0.01282051282051282,-0.07547169811320754,-0.0872093023255814,-0.08448060075093868,-0.0625,-0.05555555555555555,-0.07621951219512195,-0.03,0,-0.2647058823529412,-0.08926673751328375,-0.06666666666666667,0.04081632653061224,-0.0821917808219178,-0.07547169811320754,-0.01818181818181818,0,20,114,41,194,398,547,187,143,181,234,53,172,1598,32,360,328,200,21,34,941,15,49,146,1219,55,27,2015,4,0.8459926,24.54951,3.9,14420,3.6,74.332,1.777,61.0878,98.2,15.9,109.1522,100.9205,1.01474,1.128069,1.170641,-3.545763,17.41163,125.6477,72.22223,81.9763,2.15,9.1081,1.882,376,440,0,0,1333,1333,2164,11269.920508961555,1665.1971541934602,39009.644274182516,131,1333,0,376,0.24777671364071693,4.104528663291832e-4,0.006840881105486387
2015-05-01T00:00:00Z,-0.10441378608155577,19643,-0.07792207792207792,-0.01832460732984293,-0.017316017316017316,-0.06378132118451026,-0.029271613342409804,-0.03956343792633015,-0.11485148514851486,-0.08379888268156424,-0.03710575139146568,-0.0546875,-0.005780346820809248,-0.12526096033402923,-0.12117319631770498,-0.10843373493975904,-0.05232558139534884,-0.13853658536585367,-0.012006861063464836,-0.025,-0.22857142857142856,-0.20392156862745098,0,-0.027777777777777776,-0.22243713733075435,-0.12872542802790107,-0.01171875,-0.02247191011235955,77,382,231,439,1469,733,505,358,539,768,173,479,4671,83,860,1025,583,40,35,2040,29,108,517,3154,256,89,2015,5,0.8459926,24.54951,3.9,14420,3.6,74.332,1.777,61.0878,98.2,15.9,109.1522,100.9205,1.01474,1.128069,1.170641,-3.545763,17.41163,125.6477,72.22223,81.9763,2.15,9.1081,1.882,743,904,4,4,3358,3358,5391,12743.399786183374,1884.885353561065,40255.43185867739,360,3358,4,743,0.20399124370004582,2.0363488265539887e-4,0.008349030188871355
2015-06-01T00:00:00Z,-0.1076276980173845,10239,-0.0967741935483871,-0.03260869565217391,-0.07865168539325842,-0.0918918918918919,-0.03522205206738132,-0.03076923076923077,-0.0990990990990991,-0.1511627906976744,-0.05309734513274336,-0.04843304843304843,-0.05747126436781609,-0.12440191387559808,-0.12917505030181087,-0.10526315789473684,-0.03984575835475578,-0.139186295503212,-0.03461538461538462,0,-0.09523809523809523,-0.228486646884273,0,-0.125,-0.20242914979757085,-0.11373011196228638,0,0,62,184,89,185,653,455,222,172,339,351,87,209,2485,57,778,467,260,9,21,1011,13,56,247,1697,91,39,2015,6,0.8459926,24.54951,3.9,14420,3.6,74.332,1.777,61.0878,98.2,15.9,109.1522,100.9205,1.01474,1.128069,1.170641,-3.545763,17.41163,125.6477,72.22223,81.9763,2.15,9.1081,1.882,439,483,51,51,1712,1712,2885,9899.255884363707,1627.5941009864246,70631.15567926555,151,1712,51,439,0.16319953120421915,0.008399257740013672,0.008008594589315363
2015-07-01T00:00:00Z,-0.10835214446952596,8860,-0.08333333333333333,-0.11235955056179775,-0.1,-0.11920529801324503,-0.06263498920086392,-0.06206896551724138,-0.12571428571428572,-0.08982035928143713,-0.04878048780487805,-0.06995884773662552,-0.125,-0.08333333333333333,-0.1138121546961326,-0.11764705882352941,-0.09448818897637795,-0.10242587601078167,-0.05027932960893855,0,-0.25,-0.1373134328358209,0,0.02857142857142857,-0.17261904761904762,-0.12525252525252525,-0.017241379310344827,0,36,89,50,151,463,290,175,167,328,243,24,156,2715,34,254,371,179,2,32,1340,5,35,168,1485,58,10,2015,7,0.8459926,24.54951,3.9,14420,3.6,74.332,1.777,61.0878,98.2,15.9,109.1522,100.9205,1.01474,1.128069,1.170641,-3.545763,17.41163,125.6477,72.22223,81.9763,2.15,9.1081,1.882,572,687,52,52,1588,1588,3012,12175.77505643341,2606.63769751693,86571.22505643341,130,1588,52,572,0.23239277652370202,0.01038374717832957,0.00891647855530474
2015-08-01T00:00:00Z,-0.07048272962937013,14273,-0.07017543859649122,-0.025454545454545455,-0.03125,-0.025078369905956112,-0.023809523809523808,-0.007936507936507936,-0.026737967914438502,-0.07216494845360824,-0.0256797583081571,-0.037825059101654845,-0.031578947368421054,-0.06,-0.061224489795918366,0,-0.02177068214804064,-0.05333333333333334,-0.0025974025974025974,0,-0.16666666666666666,-0.23146666666666665,-0.09090909090909091,-0.02040816326530612,-0.05829596412556054,-0.07142857142857142,0.0049504950495049506,0,57,275,96,319,924,504,374,291,662,423,95,250,3724,64,689,600,385,13,18,1875,22,49,223,2072,202,67,2015,8,0.8459926,24.54951,3.9,14420,3.6,74.332,1.777,61.0878,98.2,15.9,109.1522,100.9205,1.01474,1.128069,1.170641,-3.545763,17.41163,125.6477,72.22223,81.9763,2.15,9.1081,1.882,508,605,120,120,2877,2877,4426,12610.867652210467,1823.0161143417643,97993.54396412808,291,2877,120,508,0.23618020037833673,0.014222658165767533,0.004904364884747425
2015-09-01T00:00:00Z,-0.07308036284655679,7827,-0.04,-0.0136986301369863,0.017543859649122806,-0.06763285024154589,-0.05393258426966292,-0.05106382978723404,-0.05732484076433121,-0.06532663316582915,-0.06060606060606061,-0.04797047970479705,-0.08888888888888889,-0.11515151515151516,-0.07354733848029256,-0.08823529411764706,-0.044186046511627906,-0.08469055374592833,-0.0163265306122449,0,-0.2,-0.11992945326278659,0,-0.046511627906976744,-0.12582781456953643,-0.09819967266775777,0,-0.043478260869565216,50,146,57,207,445,235,157,199,231,271,45,165,2461,34,430,307,245,5,20,567,13,43,151,1222,98,23,2015,9,0.8459926,24.54951,3.9,14420,3.6,74.332,1.777,61.0878,98.2,15.9,109.1522,100.9205,1.01474,1.128069,1.170641,-3.545763,17.41163,125.6477,72.22223,81.9763,2.15,9.1081,1.882,358,390,58,58,1455,1455,2462,9908.45790213364,1024.9694646735659,82952.18359524722,110,1455,58,358,0.18180656701162642,0.009326689663983647,0.005366040628593331
2015-10-01T00:00:00Z,-0.08923180140892319,5962,-0.1111111111111111,-0.036585365853658534,-0.037037037037037035,-0.1111111111111111,-0.06907894736842106,-0.01935483870967742,-0.060109289617486336,-0.03954802259887006,-0.023809523809523808,-0.047619047619047616,0,-0.06956521739130435,-0.09733606557377049,-0.03333333333333333,-0.0730593607305936,-0.1322314049586777,-0.031496062992125984,-0.4,-0.21428571428571427,-0.1292372881355932,0,-0.08928571428571429,-0.11304347826086956,-0.11142061281337047,-0.07894736842105263,0,27,82,54,117,304,155,183,177,168,147,51,115,1952,30,219,242,127,5,14,472,21,56,115,1077,38,14,2015,10,0.8459926,24.54951,3.9,14420,3.6,74.332,1.777,61.0878,98.2,15.9,109.1522,100.9205,1.01474,1.128069,1.170641,-3.545763,17.41163,125.6477,72.22223,81.9763,2.15,9.1081,1.882,396,429,64,64,1572,1572,2301,15834.756457564576,2100.8939953035892,72405.31516269708,101,1572,64,396,0.3317678631331768,0.014927876551492787,0.007044615900704461
2015-11-01T00:00:00Z,-0.08698181818181819,6875,-0.25,-0.03508771929824561,-0.042105263157894736,-0.07407407407407407,-0.05029585798816568,-0.05166051660516605,-0.17857142857142858,-0.15447154471544716,-0.040983606557377046,-0.028985507246376812,-0.037037037037037035,-0.08620689655172414,-0.11604095563139932,-0.038461538461538464,-0.01694915254237288,-0.07425742574257425,-0.05789473684210526,0.2,-0.15384615384615385,-0.1252847380410023,0,-0.02040816326530612,-0.19767441860465115,-0.13043478260869565,-0.05263157894736842,0,28,57,95,108,338,271,84,123,244,276,27,116,2051,26,1003,202,190,5,13,439,39,49,86,966,19,20,2015,11,0.8459926,24.54951,3.9,14420,3.6,74.332,1.777,61.0878,98.2,15.9,109.1522,100.9205,1.01474,1.128069,1.170641,-3.545763,17.41163,125.6477,72.22223,81.9763,2.15,9.1081,1.882,320,397,43,43,1088,1088,2162,5865.897163636364,1969.2107636363637,72257.16989090909,67,1088,43,320,0.10647272727272727,0.008,0.0032
2015-12-01T00:00:00Z,-0.050576923076923075,10400,-0.14285714285714285,-0.012987012987012988,-0.057692307692307696,-0.04700854700854701,-0.016129032258064516,-0.01871657754010695,-0.04659498207885305,-0.018018018018018018,-0.034759358288770054,-0.029612756264236904,-0.0975609756097561,-0.07065217391304347,-0.06493055555555556,-0.05,-0.02727272727272727,-0.07871720116618076,-0.026415094339622643,0,-0.16666666666666666,-0.0880503144654088,-0.0196078431372549,-0.02,-0.06282722513089005,-0.05552725420275089,-0.011235955056179775,-0.037037037037037035,35,154,104,234,744,374,279,222,374,439,41,184,2880,40,660,343,265,15,6,636,51,50,191,1963,89,27,2015,12,0.8459926,24.54951,3.9,14420,3.6,74.332,1.777,61.0878,98.2,15.9,109.1522,100.9205,1.01474,1.128069,1.170641,-3.545763,17.41163,125.6477,72.22223,81.9763,2.15,9.1081,1.882,443,648,122,122,3130,3130,4382,17375.830673076922,2552.6125,92241.00375,137,3130,122,443,0.2882692307692308,0.02519230769230769,0.008557692307692308
2016-01-01T00:00:00Z,-0.08155650319829424,9380,-0.16666666666666666,-0.056910569105691054,-0.057692307692307696,-0.04864864864864865,-0.06495726495726496,-0.017006802721088437,-0.046153846153846156,-0.05855855855855856,-0.05367231638418079,-0.06772908366533864,-0.04878048780487805,-0.12716763005780346,-0.09640905542544886,-0.06896551724137931,-0.05921052631578947,-0.0945945945945946,-0.022364217252396165,0,-0.17647058823529413,-0.11696869851729819,0,-0.027777777777777776,-0.08376963350785341,-0.09870388833499502,0,-0.06896551724137931,36,123,52,185,585,294,325,222,354,251,41,173,2562,29,456,370,313,6,17,607,31,36,191,2006,86,29,2016,1,0.8112565,24.74948,4.7,13910,3.3,74.442,1.709,60.0994,98.6,16.7,108.7578,102.5695,1.00854,1.171348,1.127882,-3.275917,14.96955,117.987,76.66667,82.6904,2.11,9.351,1.882,554,668,145,145,2634,2634,3938,20452.58049040512,1817.8945628997867,80219.72302771854,151,2634,145,554,0.335181236673774,0.03795309168443497,0.010341151385927505
2016-02-01T00:00:00Z,-0.07187024835276229,9865,-0.2,0.009433962264150943,-0.0375,-0.08585858585858586,-0.04585798816568047,-0.03076923076923077,-0.054989816700611,-0.08379888268156424,-0.035398230088495575,-0.08362369337979095,-0.04878048780487805,-0.08641975308641975,-0.09338205440519691,0,-0.03103448275862069,-0.05995203836930456,-0.04,0,-0.125,-0.1062215477996965,-0.023809523809523808,-0.0625,-0.11016949152542373,-0.07810253953042645,-0.028985507246376812,-0.018518518518518517,25,106,80,198,676,325,491,179,339,287,41,162,2463,30,580,417,275,4,8,659,42,32,236,2087,69,54,2016,2,0.8112565,24.74948,4.7,13910,3.3,74.442,1.709,60.0994,98.6,16.7,108.7578,102.5695,1.00854,1.171348,1.127882,-3.275917,14.96955,117.987,76.66667,82.6904,2.11,9.351,1.882,616,703,165,165,2829,2829,4015,25581.201419158642,2769.458084135834,102243.78469336036,252,2829,165,616,0.35884439939178914,0.03243791180942727,0.007197161682716675
2016-03-01T00:00:00Z,-0.07721259124087591,8768,-0.14285714285714285,-0.03260869565217391,-0.038461538461538464,-0.024539877300613498,-0.030874785591766724,-0.03333333333333333,-0.07326007326007326,-0.16891891891891891,-0.01652892561983471,-0.025210084033613446,-0.09375,-0.12345679012345678,-0.10327357755261107,0,-0.02696629213483146,-0.07282913165266107,-0.0049504950495049506,0,-0.1,-0.1280388978930308,-0.022222222222222223,0,-0.13488372093023257,-0.07988826815642458,-0.024096385542168676,-0.038461538461538464,21,92,52,163,583,210,273,148,363,238,32,162,2566,26,445,357,202,3,10,617,45,46,215,1790,83,26,2016,3,0.8112565,24.74948,4.7,13910,3.3,74.442,1.709,60.0994,98.6,16.7,108.7578,102.5695,1.00854,1.171348,1.127882,-3.275917,14.96955,117.987,76.66667,82.6904,2.11,9.351,1.882,518,591,156,156,2440,2440,3428,23720.58884580292,2374.8097627737225,108275.0956888686,216,2440,156,518,0.35492700729927007,0.02155565693430657,0.007071167883211679
2016-04-01T00:00:00Z,-0.09729287790697674,33024,-0.06896551724137931,-0.0367170626349892,-0.07653061224489796,-0.07021276595744681,-0.050412021328162866,-0.02358974358974359,-0.15147783251231528,-0.1408695652173913,-0.03714859437751004,-0.0725,-0.08064516129032258,-0.11155378486055777,-0.09536317953403381,-0.056818181818181816,-0.04809384164222874,-0.09151291512915129,-0.014396456256921373,0,-0.1206896551724138,-0.17467480753915582,-0.008583690987124463,-0.022388059701492536,-0.15366146458583432,-0.13178018851147075,-0.00784313725490196,0,58,463,392,470,2063,975,812,575,1992,800,124,502,8756,88,1705,1355,903,25,58,3767,233,134,833,5623,255,63,2016,4,0.8112565,24.74948,4.7,13910,3.3,74.442,1.709,60.0994,98.6,16.7,108.7578,102.5695,1.00854,1.171348,1.127882,-3.275917,14.96955,117.987,76.66667,82.6904,2.11,9.351,1.882,1403,1906,647,647,6141,6141,10697,16542.997759205427,1981.4161216085272,169699.7714692345,730,6141,647,1403,0.22774345930232556,0.03230983527131783,0.009538517441860465
2016-05-01T00:00:00Z,-0.1476089785296031,24592,-0.1774193548387097,-0.054901960784313725,-0.0196078431372549,-0.12406947890818859,-0.07534246575342465,-0.06318347509113001,-0.15346534653465346,-0.14814814814814814,-0.05134474327628362,-0.06980273141122914,-0.1111111111111111,-0.16735537190082644,-0.16851201728328383,-0.09523809523809523,-0.08729281767955802,-0.18153846153846154,-0.04631217838765009,0,-0.3142857142857143,-0.23630726834309335,-0.0111731843575419,-0.022556390977443608,-0.24081632653061225,-0.17742857142857144,-0.017937219730941704,-0.05,62,255,102,403,1314,823,606,675,1636,659,108,484,7406,84,905,975,583,9,35,2903,179,133,490,3500,223,40,2016,5,0.8112565,24.74948,4.7,13910,3.3,74.442,1.709,60.0994,98.6,16.7,108.7578,102.5695,1.00854,1.171348,1.127882,-3.275917,14.96955,117.987,76.66667,82.6904,2.11,9.351,1.882,1334,1878,798,798,3647,3647,7303,12286.031595640858,2011.778627195836,190218.77728529603,438,3647,798,1334,0.19693396226415094,0.03635328562134028,0.012443070917371502
2016-06-01T00:00:00Z,-0.11113414886999792,9646,-0.13793103448275862,-0.0410958904109589,-0.10526315789473684,-0.08783783783783784,-0.06651884700665188,-0.041666666666666664,-0.14767932489451477,-0.12058823529411765,-0.051075268817204304,-0.06808510638297872,-0.16666666666666666,-0.10849056603773585,-0.10504074856625414,-0.17857142857142858,-0.07602339181286549,-0.11688311688311688,-0.046242774566473986,0,-0.08695652173913043,-0.1665443873807777,-0.04838709677419355,-0.09259259259259259,-0.1419753086419753,-0.1331845238095238,-0.11538461538461539,0,58,73,38,148,451,240,237,340,372,235,30,212,3313,28,342,308,173,3,23,1363,62,54,162,1344,26,11,2016,6,0.8112565,24.74948,4.7,13910,3.3,74.442,1.709,60.0994,98.6,16.7,108.7578,102.5695,1.00854,1.171348,1.127882,-3.275917,14.96955,117.987,76.66667,82.6904,2.11,9.351,1.882,538,614,171,171,1513,1513,2878,14499.764150943396,2868.658511300021,116837.19728384823,202,1513,171,538,0.17976363259382128,0.022392701637984656,0.006116524984449513
