year_month,stance,summary
2019_01,negative,"The text discusses the case of a prominent conservative writer and anti-vaccine activist who died from H1N1 influenza at age 26. Many comments reflect on the irony of her death due to diseases preventable by vaccination, highlighting the dangers of anti-vaccine beliefs. The text captures widespread concern about the anti-vaccine movement and its potential public health consequences."
2019_01,neutral,"The sentences discuss various perspectives on vaccination, including personal experiences with getting vaccinated, concerns about vaccine efficacy, and skepticism towards vaccination campaigns. Some express frustration with potential vaccine side effects, while others highlight the importance of vaccinations for public health. There are also mentions of specific vaccines, the need for updated vaccination records, and the implications of not vaccinating children. Overall, the dialogue reflects a mix of humor, anxiety, and advocacy regarding vaccinations."
2019_01,positive,"The text discusses the importance of vaccination in preventing diseases, including outbreaks of measles and yellow fever. It emphasizes the urgency of getting vaccinated, particularly in light of recent surges in diseases once considered eradicated. It also criticizes anti-vaccination sentiments and stresses vaccination as a public health duty. Additionally, there are mentions of initiatives to make vaccination more accessible and effective, including digital certification for vaccinations. Ultimately, the message promotes the necessity of vaccines for personal and community health, urging individuals to protect themselves and others through immunization."
2019_02,negative,"The text reflects a wide range of sentiments regarding vaccinations, including personal experiences, fears, and frustrations. Many express pain and discomfort after receiving vaccines, while others criticize the anti-vaccine movement for its potential dangers to public health. There's also mention of misinformation and the impact of fake news on vaccination rates. Overall, the narrative illustrates a societal struggle with vaccine acceptance, fear, and the consequences of falling prey to disinformation."
2019_02,neutral,"The sentences discuss various aspects of vaccination, including personal experiences, reactions to vaccinations, the importance of vaccines for both humans and animals, and the impact of misinformation on public health. There are mentions of specific vaccines, such as for rabies and yellow fever, and concerns about vaccination rates and public health campaigns. Additionally, some sentences highlight humorous or emotional reactions to vaccination experiences."
2019_02,positive,"The text discusses the importance of vaccinations in preventing diseases, highlighting the need for people to get vaccinated against yellow fever, measles, and other illnesses. It emphasizes the societal responsibility of vaccination for personal and public health, mentioning various vaccination campaigns and initiatives, including the donation of vaccines to Venezuela. Additionally, the text touches on the stigma and misinformation surrounding vaccines, particularly among anti-vaccine advocates, and calls for increased awareness and education about the benefits of immunization."
2019_03,negative,"The text discusses the controversy surrounding former Brazilian president Lula's veto of a meningitis vaccine in 2010, which is claimed to have contributed to the death of his grandson. Many comments link Lula's actions to broader issues of corruption and health care failures in Brazil, emphasizing the tragic consequences of not vaccinating children, including the resurgence of preventable diseases. Critics express anger over the veto, arguing that it reflects negligence towards public health, while supporters of Lula dismiss these claims as misinformation."
2019_03,neutral,"The excerpts discuss various aspects of vaccination, including misinformation about vaccines, the importance of vaccination campaigns, and personal experiences related to receiving vaccines. Topics include the controversy surrounding vaccines, public health responses to outbreaks like H1N1, and the societal implications of vaccination practices. The conversation also addresses the impact of vaccines on health and highlights the necessity of maintaining vaccination records."
2019_03,positive,"The text discusses the importance of vaccination in preventing diseases, particularly focusing on the meningitis C vaccine and combating misinformation regarding vaccines. It highlights the role of vaccines in public health, mentions the increased interest in vaccinations following the death of Lula's grandson from meningitis, and emphasizes the need for universal access to vaccines through the public health system (SUS) in Brazil."
2019_04,negative,"The text discusses various opinions and reactions about vaccines, particularly the COVID-19 vaccine, revealing a divided public sentiment. Some express skepticism, believing vaccines are part of a government scheme or claim their children are fine without vaccination. Others emphasize the importance of vaccination for public health and criticize anti-vaccine sentiments. Reactions to receiving vaccines include pain and discomfort, showcasing the emotional struggle many feel towards vaccination. Overall, the conversation highlights significant misinformation and the social implications of vaccine hesitancy."
2019_04,neutral,"The text primarily discusses various aspects of vaccination, including campaigns to increase immunization rates against diseases like influenza and HPV. It mentions efforts by health authorities to achieve vaccination goals, public reactions to vaccines, and humorous or serious anecdotes about receiving vaccinations. There are references to anti-vaccine sentiments and the importance of vaccinations for public health."
2019_04,positive,"The text discusses various aspects of vaccination campaigns in Brazil, particularly the ""Vacina Brasil"" initiative launched by the government to combat vaccine misinformation and promote immunization against diseases like the flu and measles. It highlights the importance of vaccinations for public health, the ongoing campaigns targeting specific groups such as children, pregnant women, and the elderly, and encourages the community to stay informed and participate. It also addresses the challenges posed by anti-vaccine sentiments, emphasizing the necessity of vaccinations to prevent outbreaks and protect vulnerable populations."
2019_05,negative,"The texts discuss the belief that children who have not been vaccinated can still be healthy, as expressed by various parents claiming their unvaccinated children are doing well. Additionally, there are mentions of vaccination campaigns, personal experiences with vaccine side effects, and a general skepticism towards vaccinations, often framed within broader debates about health and government trust."
2019_05,neutral,"The texts discuss various aspects of vaccination, including personal anecdotes about children not being vaccinated yet being healthy, reminders about vaccination campaigns, and the importance of getting vaccinated against diseases like the flu and measles. They highlight public health initiatives, the debate surrounding vaccines, and individual experiences related to vaccination."
2019_05,positive,"The Portuguese sentences discuss various vaccination campaigns in Brazil, particularly emphasizing the importance of vaccinations against diseases such as influenza and measles. They highlight government efforts to vaccinate large populations, the necessity of maintaining updated vaccination records, and the consequences of not vaccinating, including potential fines in Germany. Public health messaging stresses the safety and effectiveness of vaccines, aiming to combat misinformation about vaccinations. Additionally, there are calls for vaccination drives targeting vulnerable groups and reminders about ongoing campaigns."
2019_06,negative,"The sentences express various opinions and experiences related to vaccination. Many individuals share their discomfort and pain after receiving vaccines, particularly for the flu, and express frustration about the process, including long waits and insufficient availability. There's a recurring theme of skepticism towards vaccines, with some claiming they don't need them or that their children are fine without them. The discussion also touches on broader societal concerns regarding vaccination rates, misinformation, and public health. The overall sentiment reflects a mix of humor, frustration, and fear surrounding the act of vaccination and its implications for health."
2019_06,neutral,"The text discusses various aspects of vaccination in Brazil, highlighting the public's attitudes, experiences, and the availability of vaccines for diseases like the flu. It includes anecdotes about people's reluctance, fears related to vaccines, and humor surrounding vaccination experiences. The importance of vaccination campaigns and the government's efforts to ensure public health through immunization are also emphasized. There's a recurring theme of skepticism regarding vaccines, with references to individuals who have remained healthy without vaccinations, contrasting with public health advice urging immunization."
2019_06,positive,"Recent updates highlight successful vaccination campaigns in Brazil, with many regions exceeding their targets for influenza immunizations, including Tarauaca and Alagoas achieving over 90% coverage. Vaccination against H1N1 is now available to the entire population, while Cuba has developed a groundbreaking lung cancer vaccine."
2019_07,negative,"The messages discuss the controversial topic of vaccination, particularly in the context of children. Many parents claim their children are healthy despite not being vaccinated, while others express fears, frustrations, and experiences related to vaccinations. The dialogues reflect a mix of skepticism towards vaccines, personal anecdotes about the pain associated with them, and concerns about public health due to lower vaccination rates. There are also references to broader societal issues, including political influences on public health and misinformation surrounding vaccines."
2019_07,neutral,"The text primarily discusses experiences and opinions related to vaccination, particularly in the context of a campaign against diseases like measles. It includes personal anecdotes about the anxiety and reactions people have when getting vaccinated, the societal attitudes towards vaccines, and the importance of keeping vaccination records up to date. There are mentions of specific vaccines, including the MMR (measles, mumps, rubella) and the HPV vaccine, as well as references to historical events such as the Vaccine Revolt in Brazil. The overall tone reflects a mix of humor, concern, and the urgency of public health awareness regarding vaccinations."
2019_07,positive,"The provided texts primarily discuss the importance of vaccination, particularly against diseases like measles, and the ongoing vaccination campaigns in Brazil. They highlight the rise in measles cases due to inadequate vaccination rates, emphasize the necessity of vaccinating children and young adults, and share personal experiences related to vaccinations. Additionally, there are mentions of vaccination against other diseases like HPV and rabies, and the societal impact of misinformation regarding vaccines. Overall, the texts advocate for public health awareness and participation in vaccination programs."
2019_08,negative,"A text discusses the tragic consequences of the anti-vaccination movement, highlighting a mother's loss of her two children to measles after refusing to vaccinate them, influenced by figures like Olavo de Carvalho in Brazil. The text emphasizes the importance of vaccinating children to prevent such tragedies, condemning the misinformation surrounding vaccines."
2019_08,neutral,"The text discusses vaccination campaigns in Brazil, especially against rabies and measles. It touches upon personal experiences and opinions regarding vaccinations, including reluctance and humorous takes on the process. There are mentions of the importance of keeping vaccination records updated, the governmentâ€™s role in public health, and the rise of anti-vaccination sentiments. Some comments reflect on the social implications of vaccination, while others highlight the necessity of immunization in preventing disease outbreaks."
2019_08,positive,"The provided text discusses the importance of vaccinations, particularly against diseases like measles, and highlights various opinions about vaccination in Brazil. It mentions the need for people to vaccinate their children and pets, the government's vaccination campaigns, and the consequences of not vaccinating. There are references to specific vaccination events, public health alerts regarding outbreaks, and personal anecdotes about the vaccination experience. Overall, it emphasizes the significance of vaccines in preventing diseases and protecting public health."
2019_09,negative,"The text discusses concerns about declining vaccination rates, particularly for children, which may lead to outbreaks of diseases like measles. It highlights personal anecdotes of individuals expressing reluctance or refusal to vaccinate their children, often citing their perceived health as justification. Additionally, it mentions the impact of government budget cuts on vaccination programs and public health, raising alarm about the potential consequences of these decisions."
2019_09,neutral,"Experts discuss the challenges of combating misinformation about vaccinations, particularly concerning the resurgence of measles in Brazil due to declining vaccination rates. The situation is worsened by public complacency and the spread of fake news, leading to fatalities. Vaccination campaigns are being intensified to address these issues."
2019_09,positive,"In Sao Paulo, children under one year old are the most vulnerable to measles, with fatalities reported. The Health Ministry recommends additional vaccinations. Many express condolences for the victims and emphasize the importance of vaccination, urging the public to utilize health services. Vaccines are free and crucial for public health."
2019_10,negative,"The provided text discusses various opinions and experiences related to vaccination, particularly focusing on the reluctance or refusal of some parents to vaccinate their children. Many express discomfort and fear regarding vaccinations, while others highlight the importance of vaccines for public health. It also notes the increasing prevalence of diseases like measles due to declining vaccination rates, as well as frustrations with the availability of vaccines in health facilities. Some individuals humorously reference their own experiences with needles and the reluctance to receive vaccinations, while others criticize anti-vaccine sentiments and the implications for community health. Overall, the discussion underscores the tension between personal beliefs and public health needs surrounding vaccination."
2019_10,neutral,"The texts discuss the initiation of a national vaccination campaign against measles, particularly targeting children aged 6 months to under 5 years. There are humorous and anxious sentiments about vaccinations, reflecting fears, experiences, and the importance of immunization amidst rising cases of measles in various regions."
2019_10,positive,"The text discusses various aspects of vaccination campaigns in Brazil, particularly focusing on the ongoing national vaccination campaign against measles. It emphasizes the importance of vaccinating children, highlighting the urgency due to rising measles cases. There are mentions of specific vaccination efforts, such as targeting children aged 6 months to 5 years, and the availability of vaccines through public health services. The text also addresses public attitudes toward vaccinations, including misinformation and the anti-vaccine movement, while underscoring the critical role of vaccines in preventing serious diseases and protecting public health."
2019_11,negative,"The text discusses various opinions and concerns about vaccination, with a strong focus on the anti-vaccine sentiment observed among certain individuals and communities. It highlights fears regarding the return of diseases like measles due to low vaccination rates, as well as personal anecdotes about the discomfort and side effects of vaccinations. The text also addresses the spread of misinformation surrounding vaccines, linking it to broader societal issues such as distrust in government and science. Overall, it reflects a significant public health concern regarding vaccination hesitancy and its consequences."
2019_11,neutral,"The provided texts primarily discuss vaccination, particularly the historical context of the ""Revolta da Vacina"" (Vaccine Revolt) in Brazil and current vaccination campaigns against diseases like measles and foot-and-mouth disease. The narrative includes personal anecdotes about taking vaccines, societal attitudes towards vaccination, and the importance of immunization. Additionally, there are comments about misinformation surrounding vaccines and the public's response to vaccination campaigns. Overall, the texts reflect on the significance of vaccination in public health and individual experiences related to it, particularly in the context of Brazilian society and health policies."
2019_11,positive,"The text discusses a variety of vaccination topics, focusing on the historical context of the vaccine revolt in Brazil in 1904 and the ongoing vaccination campaigns against diseases like measles and yellow fever. It emphasizes the importance of vaccination for public health, highlights campaigns targeting specific age groups, and addresses misinformation about vaccines. The narrative also touches on personal experiences with vaccinations, urging people to get vaccinated and underscoring the collective responsibility to protect vulnerable populations."
2019_12,negative,"The text discusses the controversy surrounding vaccinations, with many expressing skepticism or outright rejection of vaccines while making claims about health and conspiracy theories. Some emphasize personal anecdotes of children being fine without vaccinations, while others express frustration at the anti-vaccine sentiment, linking it to broader issues like misinformation and ignorance. The discourse touches on various topics, from health to politics, and highlights a general trend of distrust in science and public health initiatives."
2019_12,neutral,"The text discusses various perspectives on vaccination, highlighting personal experiences and societal attitudes. It includes humorous anecdotes about people's reactions to vaccines, the importance of maintaining vaccination schedules, and the consequences of anti-vaccine beliefs. The text reflects a mix of humor, concern, and advocacy for public health, emphasizing the need for vaccinations to prevent diseases like measles and the importance of addressing misinformation surrounding vaccines."
2019_12,positive,"The text discusses the importance of vaccination, highlighting campaigns for pet adoptions, especially cats and dogs that are vaccinated and need homes. It emphasizes the necessity of vaccinations for children and pets, shares personal anecdotes about vaccination experiences, and mentions upcoming vaccination events. It also addresses the public's responsibility to vaccinate against diseases like measles and supports efforts against misinformation regarding vaccines."
